timestamp_unix_ms,target,deck,solver,run,status,elapsed_ms,diag_mode,pulse_rhs,exec,freq_mhz,abs_res,rel_res,diag_spread,sin_rel_res
1777288242133,unknown,corpus/yagi-5elm-51seg.nec,pulse,1,ok,367,pulse,Nec2,hybrid,14.200000,8.869452e-15,3.878710e-14,1.178589e0,0.000000e0
1777288242509,unknown,corpus/yagi-5elm-51seg.nec,pulse,1,ok,365,pulse,Nec2,hybrid,14.200000,8.869452e-15,3.878710e-14,1.178589e0,0.000000e0
1777288242894,unknown,corpus/yagi-5elm-51seg.nec,pulse,1,ok,374,pulse,Nec2,hybrid,14.200000,8.869452e-15,3.878710e-14,1.178589e0,0.000000e0
1777288243262,unknown,corpus/yagi-5elm-51seg.nec,pulse,1,ok,362,pulse,Nec2,gpu(cpu-fallback),14.200000,8.869452e-15,3.878710e-14,1.178589e0,0.000000e0
1777288243639,unknown,corpus/yagi-5elm-51seg.nec,pulse,1,ok,366,pulse,Nec2,gpu(cpu-fallback),14.200000,8.869452e-15,3.878710e-14,1.178589e0,0.000000e0
1777288244014,unknown,corpus/yagi-5elm-51seg.nec,pulse,1,ok,364,pulse,Nec2,gpu(cpu-fallback),14.200000,8.869452e-15,3.878710e-14,1.178589e0,0.000000e0
1777288244383,unknown,corpus/yagi-5elm-51seg.nec,sinusoidal,1,ok,360,sinusoidal->pulse(topology),Nec2,cpu,14.200000,8.869452e-15,3.878710e-14,1.178589e0,0.000000e0
1777288244784,unknown,corpus/yagi-5elm-51seg.nec,sinusoidal,1,ok,389,sinusoidal->pulse(topology),Nec2,cpu,14.200000,8.869452e-15,3.878710e-14,1.178589e0,0.000000e0
1777288245160,unknown,corpus/yagi-5elm-51seg.nec,sinusoidal,1,ok,368,sinusoidal->pulse(topology),Nec2,cpu,14.200000,8.869452e-15,3.878710e-14,1.178589e0,0.000000e0
1777288245523,unknown,corpus/yagi-5elm-51seg.nec,sinusoidal,1,ok,356,sinusoidal->pulse(topology),Nec2,hybrid,14.200000,8.869452e-15,3.878710e-14,1.178589e0,0.000000e0
1777288245898,unknown,corpus/yagi-5elm-51seg.nec,sinusoidal,1,ok,364,sinusoidal->pulse(topology),Nec2,hybrid,14.200000,8.869452e-15,3.878710e-14,1.178589e0,0.000000e0
1777288246270,unknown,corpus/yagi-5elm-51seg.nec,sinusoidal,1,ok,364,sinusoidal->pulse(topology),Nec2,hybrid,14.200000,8.869452e-15,3.878710e-14,1.178589e0,0.000000e0
1777288246647,unknown,corpus/yagi-5elm-51seg.nec,sinusoidal,1,ok,365,sinusoidal->pulse(topology),Nec2,gpu(cpu-fallback),14.200000,8.869452e-15,3.878710e-14,1.178589e0,0.000000e0
1777288247018,unknown,corpus/yagi-5elm-51seg.nec,sinusoidal,1,ok,363,sinusoidal->pulse(topology),Nec2,gpu(cpu-fallback),14.200000,8.869452e-15,3.878710e-14,1.178589e0,0.000000e0
1777288247393,unknown,corpus/yagi-5elm-51seg.nec,sinusoidal,1,ok,366,sinusoidal->pulse(topology),Nec2,gpu(cpu-fallback),14.200000,8.869452e-15,3.878710e-14,1.178589e0,0.000000e0
